229,Satin Trans-Brown,939485
230,Satin Trans-Purple,8311b4
231,Dark Salmon,fd632d
232,Satin Trans-Dark Blue,214cde
233,Satin Trans-Bright Green,80e365
234,Trans-Medium Purple,9c3cb3
235,Reddish Gold,e58a29
236,Neon Yellow,fefe39
237,Bionicle Copper,975751
238,Bionicle Gold,b87635
239,Bionicle Silver,a59288
240,Medium Brown,a06c45
241,Medium Tan,d8c697
242,Dark Olive Green,767642
243,Pearl Sand Purple,b5a0b9
244,Pearl Black,282725
245,Lilac,795ecb
246,Light Lilac,cdcbed
247,Little Robots Blue,61bee2
248,Fabuland Lime,add447
249,Reddish Copper,cf6a2d
250,Metallic Copper,c4825c
251,Trans-Black (2023),777777
